title,location,price,bedrooms,bathrooms,link
4 Bed Villa with Garage in Kiambu Road,Kiambu Road,"KSh 30,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3536211
4 Bed House with Garage at Off Karen Road,"Off Karen Road, Karen","KSh 65,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3546885
4 Bed Villa in Kiambu Road,Kiambu Road,"KSh 34,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3515118
4 Bed House with Swimming Pool at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 8,790,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-thika-road-3560616
3 Bed House with Garage at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 5,500,000",3,4,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3560582
4 Bed House with Swimming Pool at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 8,750,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-thika-road-3560611
5 Bed Villa with Gym in Lavington,Lavington,"KSh 100,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3562509
Townhouse in Kileleshwa,Kileleshwa,"KSh 330,000,000",5,5,https://www.buyrentkenya.com/listings/townhouse-for-sale-kileleshwa-3562474
5 Bed Townhouse with Garage in Westlands Area,"Westlands Area, Westlands","KSh 42,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3562472
5 Bed Townhouse with Balcony in Lavington,Lavington,"KSh 90,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-10-3451714
3 Bed House with Garage at Ngoigwa Tola,"Ngoigwa Tola, Thika Road","KSh 5,500,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3560538
3 Bed House with Garage at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 5,499,999",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3560610
5 Bed Townhouse with Balcony in Lower Kabete,"Lower Kabete, Westlands","KSh 95,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-1-3451702
4 Bed Townhouse with Aircon in Westlands Area,"Westlands Area, Westlands","KSh 46,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3562491
Townhouse in Runda,"Runda, Westlands","KSh 30,000,000",4,4,https://www.buyrentkenya.com/listings/townhouse-for-sale-runda-3562468
2 Bed House with Garage at Ngoigwa Tola,"Ngoigwa Tola, Thika Road","KSh 5,499,999",2,,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-thika-road-3554054
Townhouse in Lavington,Lavington,"KSh 72,000,000",5,5,https://www.buyrentkenya.com/listings/townhouse-for-sale-lavington-3562467
4 Bed Townhouse with Gym in Runda,"Runda, Westlands","KSh 28,500,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3541460
4 Bed House with Garage at Kerarapon Drive,"Kerarapon Drive, Karen","KSh 34,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3488189
4 Bed House with Garage at Edenville,"00, EdenVille, Kiambu Road","KSh 21,945,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3507742
4 Bed House with Garage at Karen,Karen,"KSh 85,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3559288
2 Bed House at Witeithie,"Witeithie, Thika Road","KSh 3,250,000",2,,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-thika-road-3554032
7 Bed House with En Suite in Karen,Karen,"KSh 95,000,000",7,7,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-karen-3488377
5 Bed House with Swimming Pool in Karen,Karen,"KSh 120,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3476192
4 Bed House with Garage in Karen,Karen,"KSh 85,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3496321
2 Bed House with Aircon at Getathuru Road,"Getathuru road, Kitisuru, Westlands","KSh 5,600,000",2,2,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-kitisuru-41-3457790
4 Bed Villa with Aircon in Kiambu Road,Kiambu Road,"KSh 27,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-18-3462794
6 Bed House with Gym at Kitisuru Road,"45, Kitisuru road, Kitisuru, Westlands","KSh 180,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kitisuru-3549191
6 Bed House with En Suite at Kuwinda Road,"kuwinda road, Karen","KSh 85,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-karen-3560203
6 Bed House with Garage at Kinanda Road,"Kinanda Road, Kyuna, Westlands","KSh 115,000,000",6,7,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kyuna-3560991
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 55,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-2-3475050
5 Bed Townhouse with Swimming Pool in Riverside,"Riverside, Westlands","KSh 55,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-riverside-3533547
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands","KSh 80,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-spring-valley-5-3403922
4 Bed Townhouse with Garage in Lavington,Lavington,"KSh 85,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3561199
10 Bed Villa with Swimming Pool at Karen,Karen,"KSh 66,000,000",10,10,https://www.buyrentkenya.com/listings/10-bedroom-villa-for-sale-karen-3496372
7 Bed House in Runda,"Runda, Westlands","KSh 90,000,000",7,7,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-3505711
5 Bed House with Garage in Garden Estate,"Garden Estate, Roysambu","KSh 59,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-garden-estate-3509874
4 Bed House with Garage in Mombasa Road,Mombasa Road,"KSh 28,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-road-3499792
5 Bed Townhouse with Garage at Eden Ville,"45, Eden ville, Kiambu Road","KSh 27,000,000",5,3,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3531429
4 Bed House with Garage in Ridgeways,Ridgeways,"KSh 77,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ridgeways-3539059
4 Bed Townhouse in Lavington,Lavington,"KSh 66,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3560097
4 Bed House with Swimming Pool at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road","KSh 22,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3532726
5 Bed Townhouse with Garage at East Church Road,"East church road, Westlands Area, Westlands","KSh 50,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3510114
4 Bed House with Garage at Wendani,"Wendani, Kahawa, Roysambu","KSh 28,500,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kahawa-3556444
2 Bed House in Thika Road,Thika Road,"KSh 3,250,000",2,,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-thika-road-3554058
4 Bed House with Balcony at Masai Lane Road,"Masai lane road, Karen Hardy","KSh 75,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-hardy-3561040
6 Bed Townhouse with Gym at Kanjata Rd,"78, Kanjata Rd, Lavington","KSh 75,000,000",6,5,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3546822
5 Bed House with Garage at Muthithi,"Muthithi, Kiambu Road","KSh 90,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kiambu-road-3545736
5 Bed Townhouse with Aircon in Lavington,Lavington,"KSh 60,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3526354
3 Bed House with Garage in Makadara,Makadara,"KSh 10,500,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-makadara-7-3465531
4 Bed House with Swimming Pool in Karen,Karen,"KSh 120,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3543393
4 Bed House with Aircon at Coffee Gardens - Muthaiga North,"Coffee Gardens - Muthaiga North, Muthaiga","KSh 115,000,000",4,2,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-3557647
5 Bed Townhouse with Garage at Matasia,"Matasia, Ngong Road","KSh 28,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-ngong-road-3550180
4 Bed House with Balcony in Riverside,"Riverside, Westlands","KSh 60,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-riverside-2-3426736
4 Bed Townhouse with Balcony in Lavington,Lavington,"KSh 52,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3486133
4 Bed House with Garage in Gigiri,"Gigiri, Westlands","KSh 110,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-gigiri-3539876
6 Bed Townhouse with Gym in Lavington,Lavington,"KSh 105,000,000",6,7,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3561190
4 Bed Townhouse with Swimming Pool in Lavington,Lavington,"KSh 65,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3539613
5 Bed Townhouse at Nairobi,"Mugumo Road, Lavington, Nairobi","KSh 75,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3424215
5 Bed House with Balcony in Westlands Area,"Westlands Area, Westlands","KSh 60,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-westlands-area-1-3472695
3 Bed House with Gym at Paradise Lost Road,"Paradise lost road, Kiambu Road","KSh 55,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-3498608
6 Bed Townhouse with Aircon at Runda,"Runda, Westlands","KSh 99,000,000",6,7,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-runda-3555636
5 Bed Townhouse with Garage at Convent Drive,"47, Convent Drive, Lavington","KSh 53,000,000",5,6,https://www.buyrentkenya.com/listings/furnished-5-bedroom-townhouse-for-sale-lavington-3530231
4 Bed Townhouse with Garage in Lavington,Lavington,"KSh 68,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3506605
5 Bed House with En Suite in Lavington,Lavington,"KSh 42,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3499392
5 Bed Townhouse with Aircon in Lavington,Lavington,"KSh 56,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3496409
5 Bed Townhouse with Garage in Garden Estate,"Garden Estate, Roysambu","KSh 69,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-garden-estate-3552328
5 Bed House with Gym in Riverside,"Riverside, Westlands","KSh 49,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-riverside-3547946
5 Bed Townhouse with Gym in Lower Kabete,"Lower Kabete, Westlands","KSh 110,000,000",5,7,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-3537775
4 Bed Townhouse with Aircon at Chaalbi Drive,"chaalbi drive, Lavington","KSh 65,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3560125
5 Bed Townhouse with Gym in Lavington,Lavington,"KSh 65,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-7-3432881
4 Bed Townhouse in Westlands Area,"Ring road, Westlands Area, Westlands","KSh 150,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3520565
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 65,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3555719
5 Bed Townhouse with Garage in Lower Kabete,"Lower Kabete, Westlands","KSh 112,000,000",5,,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-3561235
6 Bed House with Garage in Gigiri,"Gigiri, Westlands","KSh 115,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-gigiri-3506898
5 Bed Villa with Gym in Ruai,Ruai,"KSh 9,800,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-ruai-3559170
4 Bed House with Garage in Utawala,Utawala,"KSh 14,500,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-utawala-3559018
4 Bed House with Garage at Peponi Road,"Peponi Road, Westlands Area, Westlands","KSh 83,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-westlands-area-1-3467650
5 Bed House with Garage at Mirema Drive,"Mirema Drive, Mirema, Roysambu","KSh 23,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-mirema-3461494
5 Bed Townhouse with Garage in Kiambu Road,Kiambu Road,"KSh 29,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3561003
4 Bed House with Garage at Kerarapon Drive,"kerarapon Drive, Karen","KSh 35,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3538728
6 Bed House with Balcony at Nairobi,"David Osieli Road, Nairobi, Rhapta Road, Westlands","KSh 120,000,000",6,5,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-rhapta-road-3473239
4 Bed House with Garage in Karen,Karen,"KSh 52,500,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3488082
5 Bed House with Gym in Karen,Karen,"KSh 98,500,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3555718
5 Bed House with Garage at Nairobi,"Lenana Road, Kilimani, Nairobi","KSh 50,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kilimani-3552021
4 Bed Townhouse with Swimming Pool in Loresho,"Loresho, Westlands","KSh 45,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-loresho-3500910
5 Bed Townhouse with Swimming Pool at Peponi Road,"Nairobi, Peponi Road, Westlands Area, Westlands","KSh 65,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3412581
4 Bed Townhouse with Garage at Chalbi Drive Along Njumbi Road,"Chalbi drive along Njumbi Road, Lavington","KSh 85,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3517767
7 Bed Villa with Gym at Off James Gichuru Road,"Off James Gichuru Road, Lavington","KSh 87,000,000",7,7,https://www.buyrentkenya.com/listings/7-bedroom-villa-for-sale-lavington-3528460
4 Bed House with Gym in Garden Estate,"Garden Estate, Roysambu","KSh 85,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-garden-estate-3523948
5 Bed House with Garage in Gigiri,"Gigiri, Westlands","KSh 120,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-gigiri-3540191
4 Bed House with Garage at Cedar Rd,"000074, cedar rd, Mountain View, Westlands","KSh 42,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mountain-view-3561241
5 Bed Townhouse with Swimming Pool in Lower Kabete,"Lower Kabete, Westlands","KSh 95,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-3490404
4 Bed House with Garage in Kahawa,"Kahawa, Roysambu","KSh 38,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kahawa-3523673
5 Bed House with Garage in Nyari,"Nyari, Westlands","KSh 180,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-nyari-3538503
4 Bed House with Garage at Mbagati Road,"Mbagati road, Ngumo Estate","KSh 20,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ngumo-estate-3545883
4 Bed House with En Suite in Kilimani,Kilimani,"KSh 36,000,000",4,2,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kilimani-3486177
4 Bed House with Garage at Athi River,"Athi River, Mombasa Road","KSh 14,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-road-3531399
4 Bed Townhouse with Garden in Kileleshwa,Kileleshwa,"KSh 70,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kileleshwa-3494267
5 Bed Villa with Gym at Lower Kabete Road,"Lower Kabete Road, Westlands Area, Westlands","KSh 160,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-westlands-area-3561262
4 Bed House with En Suite at Muthaiga North,"45, Muthaiga north, Muthaiga","KSh 40,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-3492493
4 Bed House with En Suite in Nyari,"Nyari, Westlands","KSh 135,000,000",4,,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyari-3555903
4 Bed Townhouse with Garage in Rosslyn,"Rosslyn, Westlands","KSh 90,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-rosslyn-3-3460489
5 Bed House at Ewaso Nyiro Park-Lavington,"ewaso nyiro park, Ewaso Nyiro Park-Lavington, Lavington","KSh 150,000,000",5,8,https://www.buyrentkenya.com/listings/furnished-5-bedroom-house-for-sale-lavington-3438196
7 Bed House with Gym in Kyuna,"Kyuna, Westlands","KSh 350,000,000",7,7,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-kyuna-3523723
4 Bed Townhouse with Garage in Kiambu Road,Kiambu Road,"KSh 30,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3530926
3 Bed House with Garage in Langata,Langata,"KSh 31,000,000",3,,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-langata-3558936
3 Bed House with Balcony at Lavington West,"lavington west, Lavington","KSh 30,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-lavington-3464002
5 Bed Townhouse with Garage at Mananja Road,"Mananja Road, Donholm","KSh 20,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-donholm-3524896
4 Bed House with Balcony at Three Dee Lane,"Three Dee lane, Karen","KSh 76,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3560722
4 Bed Townhouse with Garage in Lavington,Lavington,"KSh 68,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3511975
4 Bed House with Garage in Parklands,"Parklands, Westlands","KSh 35,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-parklands-3509987
5 Bed Townhouse with Garage in Karen,Karen,"KSh 75,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3468956
5 Bed House with Gym in Karen,Karen,"KSh 125,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3495087
4 Bed Townhouse with Garage at Njumbi Rd,"Njumbi Rd, Lavington","KSh 80,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3534047
5 Bed Townhouse with Aircon at Lavington,"1007m 10am, Lavington","KSh 120,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3560902
4 Bed House with Balcony at 3 Dee Road,"Karen,3 dee road, Karen","KSh 76,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3560340
4 Bed Townhouse with Garage at Muthithi Road,"Muthithi Road, Kiambu Road","KSh 40,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3555685
6 Bed House with Gym at Rossyln,"Rossyln, Rosslyn, Westlands","KSh 200,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-rosslyn-3562196
5 Bed House with Balcony at Loiyangalani Drive,"Loiyangalani Drive, Lavington","KSh 70,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3404853
4 Bed House with Garage at Muthithi Area,"Muthithi Area, Kiambu Road","KSh 40,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3560628
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 73,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3529330
5 Bed Townhouse with Garage in Westlands Area,"Westlands Area, Westlands","KSh 70,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3496725
5 Bed House with Garage in Ridgeways,Ridgeways,"KSh 68,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ridgeways-3558644
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 65,000,000",5,7,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3514167
5 Bed Townhouse with Garage at Garden Estate,"Garden Estate, Roysambu","KSh 65,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-garden-estate-3547358
6 Bed Villa with Gym at St Austin,"St Austin, Lavington","KSh 105,000,000",6,6,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lavington-3549643
5 Bed Townhouse with Swimming Pool in Lavington,Lavington,"KSh 40,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3498673
5 Bed House with Balcony in Karen,Karen,"KSh 120,000,000",5,2,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-5-3435138
5 Bed Townhouse with Garage in Westlands Area,"Westlands Area, Westlands","KSh 60,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3556749
5 Bed House with Balcony at Lantana Road,"Lantana Road, Westlands Area, Westlands","KSh 60,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-westlands-area-3476105
5 Bed House with Garage in Karen,Karen,"KSh 75,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3542935
4 Bed House with Garage in Kyuna,"Nairobi, Kyuna, Westlands","KSh 90,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kyuna-3486351
5 Bed House with Balcony in Kiambu Road,Kiambu Road,"KSh 63,950,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kiambu-road-3446254
4 Bed House with Garage in Lavington,Lavington,"KSh 45,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3539880
4 Bed House with Swimming Pool in Kiambu Road,Kiambu Road,"KSh 32,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3513764
3 Bed House with Garage at Gituamba Lane,"Gituamba Lane, Kyuna, Westlands","KSh 70,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kyuna-3538578
4 Bed House with Garage at Kitisuru Road,"Kitisuru road, Kitisuru, Westlands","KSh 1,000,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3558592
6 Bed House in Gigiri,"Gigiri, Westlands","KSh 130,000,000",6,4,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-gigiri-3542359
5 Bed House in Lavington,Lavington,"KSh 54,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3557147
3 Bed Townhouse with Garage in Ngumo Estate,Ngumo Estate,"KSh 16,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-ngumo-estate-3532705
3 Bed House with Garage in Lavington,Lavington,"KSh 34,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-lavington-3556951
5 Bed House with Balcony in Karen,Karen,"KSh 120,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3561238
4 Bed Townhouse with Garage in Runda,"Runda, Westlands","KSh 60,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3514857
4 Bed Townhouse with Gym in Kiambu Road,Kiambu Road,"KSh 37,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3560454
5 Bed House with Garage in Thika Road,Thika Road,"KSh 23,000,000",5,3,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thika-road-3-3481126
4 Bed Townhouse with Garage at Makindi Road,"Makindi Road, Lavington","KSh 60,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3542312
3 Bed House at Ndovu Lane,"Ndovu Lane, Karen","KSh 190,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-karen-3457133
5 Bed Townhouse with Gym at Riverside Drive,"Riverside drive, Riverside, Westlands","KSh 50,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-riverside-3540834
6 Bed House with Balcony at Muthaiga North,"Muthaiga North, Muthaiga","KSh 90,000,000",6,3,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-muthaiga-1-3539266
4 Bed House with Garage in Kitisuru,"Kitisuru, Westlands","KSh 65,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3552250
4 Bed Townhouse with Garage in Spring Valley,"Spring Valley, Westlands","KSh 95,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-spring-valley-3561202
4 Bed Townhouse with Gym at Brookside,"Grevillea Grove, Brookside, Westlands Area, Westlands","KSh 59,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3511143
4 Bed House with Garage in Runda,"Runda, Westlands","KSh 96,000,000",4,6,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3555601
4 Bed Townhouse with Swimming Pool in Westlands Area,"Westlands Area, Westlands","KSh 85,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3474336
5 Bed House in Riverside,"Riverside, Westlands","KSh 55,000,000",5,3,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-riverside-3526510
5 Bed Townhouse with Swimming Pool in Lavington,Lavington,"KSh 52,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3526910
5 Bed House with Gym at Off Dagoretti Rd,"Off Dagoretti rd, Karen","KSh 95,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3560829
5 Bed House with Garage at Convent Rd,"Convent Rd, Lavington","KSh 55,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3505458
4 Bed House with Garage in Karen Hardy,Karen Hardy,"KSh 75,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-hardy-3549883
