title,location,price,bedrooms,bathrooms,link
6 Bed House in Nyari,"Nyari, Westlands","KSh 140,000,000",6,7,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-nyari-3-3457737
4 Bed House with Garage in Muthaiga,Muthaiga,"KSh 138,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-3481714
5 Bed House in Runda,"Runda, Westlands","KSh 250,000,000",5,,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3503927
5 Bed Townhouse with Gym in Lavington,Lavington,"KSh 65,000,000",5,7,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3514150
4 Bed Townhouse with Gym in Langata,Langata,"KSh 35,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-langata-1-3487542
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","KSh 56,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3536799
5 Bed House in Runda,"Runda, Westlands","KSh 85,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3484043
5 Bed House with Garage in Lavington,Lavington,"KSh 64,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3499203
3 Bed Villa with Garage in Imara Daima,Imara Daima,"KSh 16,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-imara-daima-3509751
4 Bed House with Garage in Langata,Langata,"KSh 20,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-langata-3524789
4 Bed Townhouse with Garage at Lantana Road,"Lantana Road, Westlands Area, Westlands","KSh 35,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3522005
5 Bed Townhouse with Garage in Lower Kabete,"Lower Kabete, Westlands","KSh 260,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-3561197
